"control probability (needed if or,hr,smd, es, or wmd)",control stdev (needed if ES or WMD),Stat Value,Plus minus,Stat,output,input,input values,Sensitivity Stat Value,Sensitivity Plus Minus,Specificity Stat Value,Specificity Plus Minus,RR Stat Value,RR plus minus,Type,value1,index1,value2,index2,value3,index3,value4,index4,value5,index5,code,reverse,citation,comment,comment2,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,study_n,study_design,study_population,verification_status
,,,,,stride_variability_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""positive"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_speed_variability_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_speed_variability_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_speed_variability_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_speed_variability_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""positive"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_speed_anomaly,ThresholdAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_speed_anomaly,"{""low"":""0.8"",""n"":""2"",""side"":""negative""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,steps_anomaly,ThresholdAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,steps_anomaly,"{""low"":""4400"",""n"":""2"",""side"":""negative""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sleep_anomaly,ThresholdAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sleep_anomaly,"{""low"":""5"",""high"":""11"",""n"":""2""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,workout_anomaly,ThresholdAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,workout_anomaly,"{""low"":""10"",""n"":""2"",""side"":""negative""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,oxygen_anomaly,QuantileAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,oxygen_anomaly,ThresholdAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,oxygen_anomaly,"{""low"":""93"",""low_percent"":""0.1"",""high_percent"":""1.0"",""n"":""2"",""is_all"":""True""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""positive"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_variability_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_variability_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_variability_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,heart_rate_variability_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""negative"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gender,,,,,,,,,discrete_nhanes_explicit,male,1,female,2,,,,,,,RIAGENDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,age,,,,,,,,,discrete_nhanes_explicit,child,0-12,teen,13-19,young_adult,20-39,adult,40-69,elderly,70-85,RIDAGEYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,carrot_intake,daily_servings_fruit,,,,,,,,naive_0_nhanes_explicit,carrot_intake_less_than_every_2_months,1-2,carrot_intake_every_one_or_two_months,3-4,carrot_intake_2_to_4_times_per_month,5-6,carrot_intake_twice_or_more_per_week,7-11,,,FFQ0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,squash_intake,daily_servings_fruit,,,,,,,,naive_0_nhanes_explicit,squash_intake_less_than_every_2_months,1-2,squash_intake_every_one_or_two_months,3-4,squash_intake_2_to_4_times_per_month,5-6,squash_intake_twice_or_more_per_week,7-11,,,FFQ0043A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,pepper_intake,daily_servings_fruit,,,,,,,,naive_0_nhanes_explicit,pepper_intake_less_than_every_2_months,1-2,pepper_intake_every_one_or_two_months,3-4,pepper_intake_2_to_4_times_per_month,5-6,pepper_intake_twice_or_more_per_week,7-11,,,FFQ0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,brocolli_intake,daily_servings_fruit,,,,,,,,naive_0_nhanes_explicit,brocolli_intake_less_than_every_2_months,1-2,brocolli_intake_every_one_or_two_months,3-4,brocolli_intake_2_to_4_times_per_month,5-6,brocolli_intake_twice_or_more_per_week,7-11,,,FFQ0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,califlower_or_brusell_sprouts_intake,daily_servings_fruit,,,,,,,,naive_0_nhanes_explicit,califlower_or_brusell_sprouts_intake_less_than_every_2_months,1-2,califlower_or_brusell_sprouts_intake_every_one_or_two_months,3-4,califlower_or_brusell_sprouts_intake_2_to_4_times_per_month,5-6,califlower_or_brusell_sprouts_intake_twice_or_more_per_week,7-11,,,FFQ0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,dark_green_vegetables_per_month,daily_servings_fruit,,,,,,,,naive_0_nhanes_quartile,,0-66665,,,,,,,,,DBD102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,daily_servings_fruit,,,,,,,,,discrete_nhanes_explicit,daily_servings_fruit_none,0,daily_servings_fruit_1,1,daily_servings_fruit_2,2,daily_servings_fruit_3_or_more,3-10,,,DBD270C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,carrot_intake,carrot_intake_twice_or_more_per_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,squash_intake,squash_intake_twice_or_more_per_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,pepper_intake,pepper_intake_twice_or_more_per_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,brocolli_intake,brocolli_intake_twice_or_more_per_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,califlower_or_brusell_sprouts_intake,califlower_or_brusell_sprouts_intake_twice_or_more_per_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,dark_green_vegetables_per_month,dark_green_vegetables_per_month_quartile_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,original_vegetable_intake,,,,,,,,,any_of,vegetable_intake_high,,vegetable_intake_low,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,diet_fruits_and_vegetables,daily_servings_fruit,"daily_servings_fruit_1,daily_servings_fruit_2,daily_servings_fruit_3_or_more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,diet_fruits_and_vegetables,original_vegetable_intake,vegetable_intake_high,,,,,,,,,,,,,,,,,,,,,vegetable_intake was an orphan input (no def row); referenced original chain renamed to original_vegetable_intake. Update consumer to direct ref. Build crash root cause.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,diet_fruits_and_vegetables,,,,,,,,,any_of,diet_fruits_and_vegetables_yes,,diet_fruits_and_vegetables_no,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hysterectomy,,,,,,,,,discrete_nhanes_explicit,hysterectomy_yes,1,hysterectomy_no,2,,,,,,,RHD280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,blueberries,,,,,,,,,discrete_priors,blueberries_above_1_oz_per_week,0.5,blueberries_below_1_oz_per_week,0.5,,,,,,,,1.0,,ushbc.blueberry.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,work_limiting_problem,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,work_limiting_problem_yes,1,work_limiting_problem_no,2,,,,,,,PFQ051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,stand_from_sit_difficulty,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,stand_from_sit_difficulty_unable,4,stand_from_sit_difficulty_much,3,stand_from_sit_difficulty_some,2,stand_from_sit_difficulty_none,1,,,PFQ061I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,walking_difficulty,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,walking_difficulty_unable,4,walking_difficulty_much,3,walking_difficulty_some,2,walking_difficulty_none,1,,,PFQ061H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,two_hour_sitting_difficulty,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,two_hour_sitting_difficulty_unable,4,two_hour_sitting_difficulty_much,3,two_hour_sitting_difficulty_some,2,two_hour_sitting_difficulty_none,1,,,PFQ061N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,two_hour_standing_difficulty,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,two_hour_standing_difficulty_unable,4,two_hour_standing_difficulty_much,3,two_hour_standing_difficulty_some,2,two_hour_standing_difficulty_none,1,,,PFQ061M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ten_stairs_difficulty,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,ten_stairs_difficulty_unable,4,ten_stairs_difficulty_much,3,ten_stairs_difficulty_some,2,ten_stairs_difficulty_none,1,,,PFQ061C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,social_activity_difficulty,chore_difficulty,,,,,,,,naive_0_nhanes_explicit,social_activity_difficulty_unable,4,social_activity_difficulty_much,3,social_activity_difficulty_some,2,social_activity_difficulty_none,1,,,PFQ061R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chore_difficulty,,,,,,,,,discrete_nhanes_explicit,chore_difficulty_unable,4,chore_difficulty_unable_not,1-3,,,,,,,PFQ061F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,steps_per_day,,,,,,,,,naive_0_nhanes_explicit_average,steps_per_day_low_under_4400,0-3.055599999999,steps_per_day_normal_4400_to_8000,3.0556-5.5599999999999999,steps_per_day_high_8001_to_12000,5.56-8.3399999999999999,steps_per_day_very_high_over_12000,8.34-1000,,,PAXSTEP,,,"[2026-05-13 naive_0 guard-3 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf steps_per_day is the input of an equivalent_to row, so a parent-conditional CPT here would create a triple-constraint conflict with the equivalent_to mapping + the wrapper's dep_nhanes_explicit marginal. The dependency.py guard (3) was silently demoting this to discrete priors anyway; making the CSV honest about that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,cardiovascular_minutes,,,,,,,,,naive_0_nhanes_quartile,,10-840,,,,,,,,,PAD675,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf cardiovascular_minutes is the input of 2 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,daily_walk_or_bicycle_travel,,,,,,,,,naive_0_nhanes_explicit,daily_walk_or_bicycle_travel_less_than_30_minutes,0-29,daily_walk_or_bicycle_travel_30_to_59_minutes,30-59,daily_walk_or_bicycle_travel_60_minutes_or_more,60-1440,,,,,PAD645,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf daily_walk_or_bicycle_travel is the input of 1 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,daily_recreational_minutes,vo2max_cardiovascular_fitness,,,,,,,,naive_0_nhanes_quartile,,0-7776,,,,,,,,,PAD660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_recreational_activities,,,,,,,,,naive_0_nhanes_explicit,moderate_recreational_activities_no,2,moderate_recreational_activities_yes,1,,,,,,,PAQ665,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf moderate_recreational_activities is the input of 1 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_intensity_sports_minutes,,,,,,,,,naive_0_nhanes_quartile,,0-7776,,,,,,,,,PAD675,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf moderate_intensity_sports_minutes is the input of 1 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_intesity_work_minutes,vo2max_cardiovascular_fitness,,,,,,,,naive_0_nhanes_quartile,,0-7776,,,,,,,,,PAD630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,vigorous_work_activity,,,,,,,,,naive_0_nhanes_explicit,vigorous_work_activity_no,2,vigorous_work_activity_yes,1,,,,,,,PAQ605,,,[2026-05-13 naive_0 guard-2 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf vigorous_work_activity is the input of 1 downstream study row(s) - an empirical P(leaf|parent) CPT would compete with the literature RR. The dependency.py guard (2) was silently demoting this to discrete priors anyway. Making the CSV honest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ten_minutes_daily_workout,,,,,,,,,naive_0_nhanes_explicit,ten_minutes_daily_workout_no,2,ten_minutes_daily_workout_yes,1,,,,,,,PAQ650,,,"[2026-05-13 naive_0 guard-3 removal cycle] Blanked input column (was 'vo2max_cardiovascular_fitness'). Leaf ten_minutes_daily_workout is the input of an equivalent_to row, so a parent-conditional CPT here would create a triple-constraint conflict with the equivalent_to mapping + the wrapper's dep_nhanes_explicit marginal. The dependency.py guard (3) was silently demoting this to discrete priors anyway; making the CSV honest about that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,strengthening_exercises,vo2max_cardiovascular_fitness,,,,,,,,naive_0_nhanes_explicit,strengthening_exercises_no,2,strengthening_exercises_yes,1,,,,,,,PAD440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,vo2max_cardiovascular_fitness,,,,,,,,,discrete_nhanes_explicit,vo2max_cardiovascular_fitness_low,1,vo2max_cardiovascular_fitness_moderate,2,vo2max_cardiovascular_fitness_high,3,,,,,CVDFITLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,workout_anomaly,ten_minutes_daily_workout,ten_minutes_daily_workout_no,,,,,,,equivalent_to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,workout_anomaly,,,,,,,,,dependency_nhanes_explicit,ten_minutes_daily_workout_no,2,ten_minutes_daily_workout_yes,1,,,,,,,PAQ650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,steps_anomaly,steps_per_day,steps_per_day_low_under_4400,,,,,,,equivalent_to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,steps_anomaly,,,,,,,,,dependency_nhanes_explicit_average,steps_per_day_low_under_4400,0-3.055599999999,steps_per_day_low_under_4400_not,3.0556-1000,,,,,,,PAXSTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_physical_activity,moderate_recreational_activities,moderate_recreational_activities_yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_physical_activity,moderate_intensity_sports_minutes,moderate_intensity_sports_minutes_quartile_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_physical_activity,moderate_intesity_work_minutes,moderate_intesity_work_minutes_quartile_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_physical_activity,steps_anomaly,steps_per_day_low_under_4400_not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,moderate_physical_activity,cardiovascular_minutes,cardiovascular_minutes_quartile_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
